report_date,report_type,location,site,department,contractor,reporter_role,description,severity,planted_pattern
2026-03-24,NEAR_MISS,Site Delta,Site Charlie,Pipeline Integrity,Contractor-Summit Rigging Co,Engineer,First aid kit in the workshop was missing a few items.,HIGH,
2026-07-21,UNSAFE_ACT,Site Bravo,Site Bravo,Maintenance,Contractor-Beacon Electrical Works,Technician,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-05-25,UNSAFE_ACT,Site Echo,Site Foxtrot,Pipeline Integrity,Contractor-Redline Maintenance Group,Foreman,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-07-09,UNSAFE_CONDITION,Site Alpha,Site Charlie,Pipeline Integrity,Contractor-Ironclad Scaffolding,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-05-20,NEAR_MISS,Site Charlie,Site Delta,Logistics,Contractor-Redline Maintenance Group,Foreman,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-06-03,UNSAFE_ACT,Site Charlie,Site Charlie,Operations,Contractor-Pinnacle Contractors,Safety Officer,Energized cable was handled without confirming de-energization.,HIGH,electrical_isolation
2026-07-21,NEAR_MISS,Site Echo,Site Alpha,Drilling,Contractor-Vantage Energy Services,Operator,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-08-21,NEAR_MISS,Site Echo,Site Delta,Logistics,Contractor-Pinnacle Contractors,Site Supervisor,Reverse alarm on the site vehicle was found to be non-functional.,LOW,vehicle_pedestrian
2026-07-27,UNSAFE_CONDITION,Site Delta,Site Alpha,Drilling,Contractor-Pinnacle Contractors,Engineer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-06-19,UNSAFE_ACT,Site Foxtrot,Site Echo,Pipeline Integrity,Contractor-Meridian Fabrication,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-04-11,UNSAFE_ACT,Site Delta,Site Foxtrot,HSE,Contractor-Beacon Electrical Works,Operator,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-06-17,NEAR_MISS,Site Echo,Site Echo,Drilling,Contractor-Meridian Fabrication,Safety Officer,Oxygen levels were not checked before crew entered the storage vessel.,MODERATE,confined_space
2026-08-23,UNSAFE_ACT,Site Charlie,Site Echo,Logistics,Contractor-Meridian Fabrication,Operator,Electrical isolation point was not physically verified with a multimeter.,LOW,electrical_isolation
2026-05-25,UNSAFE_CONDITION,Site Delta,Site Delta,Maintenance,Contractor-Vantage Energy Services,Engineer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-06-29,NEAR_MISS,Site Bravo,Site Delta,Pipeline Integrity,Contractor-Coastal Logistics,Technician,First aid kit in the workshop was missing a few items.,MODERATE,
2026-06-08,UNSAFE_CONDITION,Site Charlie,Site Charlie,Drilling,Contractor-Coastal Logistics,Safety Officer,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-03-22,UNSAFE_ACT,Site Bravo,Site Alpha,Pipeline Integrity,Contractor-Summit Rigging Co,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-08-13,UNSAFE_ACT,Site Charlie,Site Charlie,Pipeline Integrity,Contractor-Meridian Fabrication,Foreman,First aid kit in the workshop was missing a few items.,LOW,
2026-08-19,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,HSE,Contractor-Atlas Mechanical,Operator,Worker accessed switchgear room without confirming lockout status.,MODERATE,electrical_isolation
2026-07-28,UNSAFE_CONDITION,Site Echo,Site Foxtrot,Pipeline Integrity,Contractor-Atlas Mechanical,Site Supervisor,Gas testing was not conducted before confined space entry into the tank.,HIGH,confined_space
2026-08-21,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,HSE,Contractor-Vantage Energy Services,Technician,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-08-12,UNSAFE_ACT,Site Echo,Site Bravo,Drilling,Contractor-Vantage Energy Services,Safety Officer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-08-14,UNSAFE_ACT,Site Echo,Site Echo,Operations,Contractor-Meridian Fabrication,Engineer,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-03-02,UNSAFE_ACT,Site Foxtrot,Site Charlie,Drilling,Contractor-Coastal Logistics,Site Supervisor,First aid kit in the workshop was missing a few items.,LOW,
2026-04-24,UNSAFE_ACT,Site Foxtrot,Site Delta,Logistics,Contractor-Summit Rigging Co,Operator,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-03-24,NEAR_MISS,Site Foxtrot,Site Charlie,Logistics,Contractor-Delta Wellsite Services,Site Supervisor,Housekeeping issue noted in the tool storage area.,HIGH,
2026-07-27,UNSAFE_ACT,Site Alpha,Site Bravo,HSE,Contractor-Meridian Fabrication,Engineer,Panel door was opened while circuit remained energized.,MODERATE,electrical_isolation
2026-06-27,UNSAFE_ACT,Site Foxtrot,Site Bravo,HSE,Contractor-Orion Field Services,Technician,Ladder used for elevated work was damaged and not tagged out of service.,MODERATE,working_at_height
2026-04-23,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,Maintenance,Contractor-Northstar Industrial,Engineer,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-03-10,NEAR_MISS,Site Bravo,Site Charlie,Maintenance,Contractor-Coastal Logistics,Engineer,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-08-04,UNSAFE_CONDITION,Site Echo,Site Charlie,Maintenance,Contractor-Meridian Fabrication,Engineer,Panel door was opened while circuit remained energized.,MODERATE,electrical_isolation
2026-03-29,NEAR_MISS,Site Delta,Site Alpha,Logistics,Contractor-Atlas Mechanical,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-08-24,NEAR_MISS,Site Charlie,Site Bravo,Operations,Contractor-Meridian Fabrication,Engineer,Energized cable was handled without confirming de-energization.,LOW,electrical_isolation
2026-04-12,NEAR_MISS,Site Charlie,Site Echo,Pipeline Integrity,Contractor-Coastal Logistics,Operator,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-06-13,UNSAFE_CONDITION,Site Charlie,Site Delta,HSE,Contractor-Redline Maintenance Group,Foreman,Electrical isolation point was not physically verified with a multimeter.,HIGH,electrical_isolation
2026-04-17,UNSAFE_ACT,Site Foxtrot,Site Charlie,Pipeline Integrity,Contractor-Meridian Fabrication,Engineer,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-06-29,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,Maintenance,Contractor-Orion Field Services,Site Supervisor,Unsecured harness was noted during rooftop inspection.,LOW,working_at_height
2026-06-06,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,Operations,Contractor-Atlas Mechanical,Technician,Energized cable was handled without confirming de-energization.,LOW,electrical_isolation
2026-05-05,NEAR_MISS,Site Bravo,Site Delta,Maintenance,Contractor-Redline Maintenance Group,Engineer,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-08-09,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,Logistics,Contractor-Beacon Electrical Works,Operator,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-08-15,NEAR_MISS,Site Foxtrot,Site Delta,HSE,Contractor-Coastal Logistics,Site Supervisor,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-04-15,UNSAFE_ACT,Site Echo,Site Charlie,HSE,Contractor-Ironclad Scaffolding,Foreman,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-07-27,UNSAFE_ACT,Site Bravo,Site Delta,Pipeline Integrity,Contractor-Ironclad Scaffolding,Safety Officer,First aid kit in the workshop was missing a few items.,MODERATE,
2026-03-02,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,Operations,Contractor-Atlas Mechanical,Technician,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
